source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0006119,oxidative phosphorylation,2.449840995552535e-5,TRUE,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",146,3,3,21026,1,0.02054794520547945,query_1,['GO:0009060']
KEGG,KEGG:00190,Oxidative phosphorylation,5.780604207003501e-5,TRUE,Oxidative phosphorylation,134,3,3,8484,1,0.02238805970149253,query_1,['KEGG:00000']
GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,7.708614242400755e-5,TRUE,"""The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released."" [GOC:mah]",345,3,3,21026,1,0.00869565217391304,query_1,['GO:0006091']
GO:BP,GO:0006091,generation of precursor metabolites and energy,1.7126816226907e-4,TRUE,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",478,3,3,21026,1,0.00627615062761506,query_1,['GO:0008152']
GO:BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,3.7647478728371e-4,TRUE,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",67,3,2,21026,0.6666666666666666,0.02985074626865671,query_1,"['GO:0006119', 'GO:0015986']"
GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,4.3971611415986e-4,TRUE,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."" [GOC:mtg_sensu, ISBN:0716731363]",99,3,2,21026,0.6666666666666666,0.0202020202020202,query_1,['GO:0042773']
GO:BP,GO:0022904,respiratory electron transport chain,4.3971611415986e-4,TRUE,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."" [GOC:mtg_electron_transport, ISBN:0716720094]",115,3,2,21026,0.6666666666666666,0.01739130434782608,query_1,"['GO:0022900', 'GO:0045333']"
GO:BP,GO:0019646,aerobic electron transport chain,4.3971611415986e-4,TRUE,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to oxygen to generate a transmembrane electrochemical gradient."" [GOC:ai, GOC:mtg_electron_transport]",91,3,2,21026,0.6666666666666666,0.02197802197802198,query_1,"['GO:0006119', 'GO:0009060', 'GO:0022904']"
GO:BP,GO:0042773,ATP synthesis coupled electron transport,4.3971611415986e-4,TRUE,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP."" [ISBN:0716731363]",99,3,2,21026,0.6666666666666666,0.0202020202020202,query_1,"['GO:0006119', 'GO:0022904']"
GO:BP,GO:0022900,electron transport chain,4.5325373289776e-4,TRUE,"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]",126,3,2,21026,0.6666666666666666,0.01587301587301587,query_1,['GO:0006091']
REAC,REAC:R-HSA-9837999,Mitochondrial protein degradation,8.6363214843788e-4,TRUE,Mitochondrial protein degradation,98,2,2,11004,1,0.02040816326530612,query_1,['REAC:R-HSA-392499']
REAC,REAC:R-HSA-1428517,Aerobic respiration and respiratory electron transport,0.00197474314942625,TRUE,Aerobic respiration and respiratory electron transport,209,2,2,11004,1,0.00956937799043062,query_1,['REAC:R-HSA-1430728']
GO:BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",0.0054108552301995,TRUE,"""The transfer of electrons from cytochrome c to oxygen that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex IV."" [ISBN:0716731363]",22,3,1,21026,0.3333333333333333,0.04545454545454545,query_1,"['GO:0019646', 'GO:0042775']"
GO:BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",0.0118301554779509,TRUE,"""The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation."" [ISBN:0716731363]",51,3,1,21026,0.3333333333333333,0.0196078431372549,query_1,"['GO:0019646', 'GO:0042775']"
GO:BP,GO:0032981,mitochondrial respiratory chain complex I assembly,0.01359810827155829,TRUE,"""The aggregation, arrangement and bonding together of a set of components to form mitochondrial respiratory chain complex I."" [GOC:rph]",63,3,1,21026,0.3333333333333333,0.01587301587301587,query_1,"['GO:0010257', 'GO:0033108']"
GO:BP,GO:0010257,NADH dehydrogenase complex assembly,0.01359810827155829,TRUE,"""The aggregation, arrangement and bonding together of a set of components to form an NADH dehydrogenase complex."" [GOC:sm]",63,3,1,21026,0.3333333333333333,0.01587301587301587,query_1,['GO:0065003']
REAC,REAC:R-HSA-6799198,Complex I biogenesis,0.02273371265554573,TRUE,Complex I biogenesis,57,2,1,11004,0.5,0.0175438596491228,query_1,['REAC:R-HSA-611105']
